1000 6.2E-6
2000 1.08E-5
3000 1.49E-5
4000 1.99E-5
5000 2.54E-5
6000 3.19E-5
7000 3.33E-5
8000 3.73E-5
9000 4.27E-5
10000 5.22E-5
11000 5.34E-5
12000 5.73E-5
13000 6.13E-5
14000 1.471E-4
15000 7.01E-5
16000 8.48E-5
17000 8.72E-5
18000 8.25E-5
19000 1.159E-4
20000 1.035E-4
